Green goo. Green goo. Nugget likes the green goo.,Deneme 123 Yeşil balçık. Yeşil balçık. Nugget yeşil balçığı seviyor.
"Uh... whatcha doing there, Nugget?","Şey... Orada ne yapıyorsun, Nugget?"
Nugget is enjoying this nice puddle of green goo! Please join Nugget!,Nugget bu güzel yeşil balçık göletinin tadını çıkarıyor! Lütfen Nugget'a katıl!
Ummm... okay.,Immm... peki.
No thanks.,Hayır teşekkürler.
Nugget has an idea! Nugget's new goo friend should eat the goo!,Nugget'ın bir fikri var! Nugget'ın yeni balçık arkadaşı balçığı tatmalı!
Sounds tasty.,Lezzetli görünüyor.
Sounds nasty.,Pis görünüyor.
"Yes, yes! Consume the goo as Nugget has and-","Evet, evet! Nugget'ın tükettiği gibi balçığı tüket ve-"
Uh... Nugget's friend has turned green.,Ah... Nugget'ın arkadaşı yeşile döndü.
I don't feel so good.,Ben pek iyi hissetmiyorum.
Perhaps Nugget's friend cannot endure the goo like Nugget can. Perhaps Nugget's friend should see the nurse.,Belki de Nugget'ın arkadaşı balçığa Nugget kadar dayanıklı değildir. Belki de Nugget'ın arkadaşı hemşireye görünmeli.
That might be a good idea.,Bu iyi bir fikir olabilir.
The goo is not nasty! The goo would make excellent Nugget sauce! ,Balçık pis değildir! Bu balçıktan harika bir Nugget sosu olur!
Fine. I'll try it.,İyi. Deneyeceğim.
I'm not eating it.,Onu yemeyeceğim.
If Nugget's friend insists. More goo for Nugget.,Nugget'ın arkadaşı ısrar ediyorsa öyle olsun. Nugget'a daha fazla balçık kalır.
Enjoy that.,Keyfini çıkar.
(Leave him to his goo.),(Onu balçığıyla yalnız bırak.)
Nugget's friend is the same color as the goo. Perhaps Nugget's friend should seek medical attention.,Nugget'ın arkadaşı balçıkla aynı renge dönüştü. Belki de Nugget'ın arkadaşı tıbbi yardım almalıdır.
Good idea.,İyi fikir.
Has Nugget's friend changed his mind? Would he like to try the goo?,Nugget'ın arkadaşı fikrini değiştirdi mi? Balçığın tadına bakmak ister mi?
Wanna be in a play?,Bir tiyatroda oynamak ister misin?
Nugget is much too busy with his goo to become a thespian.,"Nugget, bir tiyatrocu olmak için bu balçıkla çok meşgul."
"Yeah, this looks pretty time consuming.","Evet, bu epey zaman alıcı görünüyor."
Unless...<kgwait>,Tabii...<kgwait>
Unless?,Tabii ne?
